id;presentation;navigation
eyJzIjoiT1BPIiwiZSI6Ijk1NTY2MjkwIiwiaCI6IjI3NTQ1MjM2In0=;{'title': 'Porto', 'suggestionTitle': 'Porto (OPO)', 'subtitle': 'Portugal'};{'entityId': '95566290', 'entityType': 'AIRPORT', 'localizedName': 'Porto', 'relevantFlightParams': {'skyId': 'OPO', 'entityId': '95566290', 'flightPlaceType': 'AIRPORT', 'localizedName': 'Porto'}, 'relevantHotelParams': {'entityId': '27545236', 'entityType': 'CITY', 'localizedName': 'Porto'}}
eyJzIjoiUFhPIiwiZSI6Ijk1Njc0MjIzIiwiaCI6IjQ2MjI3NjI2In0=;{'title': 'Porto Santo', 'suggestionTitle': 'Porto Santo (PXO)', 'subtitle': 'Portugal'};{'entityId': '95674223', 'entityType': 'AIRPORT', 'localizedName': 'Porto Santo', 'relevantFlightParams': {'skyId': 'PXO', 'entityId': '95674223', 'flightPlaceType': 'AIRPORT', 'localizedName': 'Porto Santo'}, 'relevantHotelParams': {'entityId': '46227626', 'entityType': 'CITY', 'localizedName': 'Porto Santo'}}
